budget,revenue,runtime,popularity,voteAvg,voteCount,releaseYear
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(20.0, 97.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(-0.001, 20.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(-0.001, 20.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(-0.001, 20.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(-0.001, 20.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(-0.001, 20.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(20.0, 97.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(20.0, 97.0]","popularity=(-0.001, 0.0997]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(20.0, 97.0]","popularity=(0.0997, 16.712]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
"budget=(-0.001, 380000000.0]","revenue=(-0.001, 2847246203.0]","runtime=(97.0, 750.0]","popularity=(0.0997, 16.712]","voteAvg=(-0.001, 6.4]","voteCount=(-0.001, 193.0]","releaseYear=(2025.0, 2026.0]"
