columna,tipo,nulos
city,object,0
host_response_rate,float64,5376
host_acceptance_rate,float64,4301
host_is_superhost,object,0
host_has_profile_pic,object,0
host_identity_verified,object,0
property_type,object,0
room_type,object,0
accommodates,int32,0
bathrooms,float64,14
bedrooms,object,121
beds,object,80
minimum_nights,int32,0
maximum_nights,int32,0
availability_30,int32,0
availability_60,int32,0
availability_90,int32,0
availability_365,int32,0
number_of_reviews,int32,0
number_of_reviews_ltm,int32,0
number_of_reviews_l30d,int32,0
estimated_occupancy_l365d,int32,0
review_scores_rating,float64,13413
review_scores_accuracy,float64,13417
review_scores_cleanliness,float64,13417
review_scores_checkin,float64,13417
review_scores_communication,float64,13417
review_scores_location,float64,13417
review_scores_value,float64,13417
instant_bookable,object,0
reviews_per_month,float64,13413
